S.no,answer
1,ERROR
2,ERROR
3,True
4,True
5,False
6,19.0
7,343
8,ERROR
9,25 
10,3
11,ERROR
12,United States
13, 
14,drugstores
15,
16,"['United States', 'China', 'India']"
17,"['real estate', 'investments', 'pharmaceuticals', 'diversified', 'software']"
18,ERROR
19,
20,"['Colombia', 'Andorra']"
21,"[3, 10, 14, 16, 18]"
22,"[48.0, 83.0, 83.0]"
23,"[171000, 129000, 111000, 107000, 106000, 91400]"
24,"[14, 18, 21, 30]"
25,[]
26,True
27,True
28,True
29,True
30,3
31,80.0
32,604
33,32.31
34,1
35,female
36,0-50
37,2
38,"[1, 2, 3]"
39,ERROR
40,ERROR
41,"['female', 'male']"
42,"[80, 63, 63]"
43,"[512.239, 512.239, 512.239, 263]"
44,"[1, 1, 1]"
45,"[0, 0, 0, 0]"
