dataset_id,columns
001_Forbes,"rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object"
002_Titanic,"Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64"
003_Love,"Submitted at; datetime64[us, UTC], What is your age? 👶🏻👵🏻; uint8, What's your nationality?; category, What is your civil status? 💍; category, What's your sexual orientation?; category, Do you have children? 🍼; category, What is the maximum level of studies you have achieved? 🎓; category, Gross annual salary (in euros) 💸; float64, What's your height? in cm 📏; uint8, What's your weight? in Kg ⚖️; float64, What is your body complexity? 🏋️; category, What is your eye color? 👁️; category, What is your hair color? 👩🦰👱🏽; category, What is your skin tone?; uint8, How long is your hair? 💇🏻♀️💇🏽♂️; category, How long is your facial hair? 🧔🏻; category, How often do you wear glasses? 👓; category, How attractive do you consider yourself?; uint8, Have you ever use an oline dating app?; category, Where have you met your sexual partners? (In a Bar or Restaurant); bool, Where have you met your sexual partners? (Through Friends); bool, Where have you met your sexual partners? (Through Work or as Co-Workers); bool, Where have you met your sexual partners? (Through Family); bool, Where have you met your sexual partners? (in University); bool, Where have you met your sexual partners? (in Primary or Secondary School); bool, Where have you met your sexual partners? (Neighbors); bool, Where have you met your sexual partners? (in Church); bool, Where have you met your sexual partners? (Other); bool, How many people have you kissed?; uint16, How many sexual partners have you had?; uint16, How many people have you considered as your boyfriend_girlfriend?; uint8, How many times per month did you practice sex lately?; float64, Happiness scale; uint8, What area of knowledge is closer to you?; object, If you are in a relationship, how long have you been with your partner?; float64"
004_Taxi,"VendorID; uint8, tpep_pickup_datetime; datetime64[us, UTC], tpep_dropoff_datetime; datetime64[us, UTC], passenger_count; uint8, trip_distance; float64, RatecodeID; uint8, store_and_fwd_flag; category, PULocationID; uint16, DOLocationID; uint16, payment_type; uint8, fare_amount; float64, extra; float64, mta_tax; float64, tip_amount; float64, tolls_amount; uint8, improvement_surcharge; float64, total_amount; float64, congestion_surcharge; float64, Airport_fee; float64, airport_fee; category"
005_NYC,"segmentation_1; object, descriptor; category, complaint_type; category, created_date; datetime64[us, UTC], borough; category, hour; uint8, month_name; category, weekday_name; category, agency; category, resolution_description; category, agency_name; category, city; category, location_type; category, incident_zip; float64, incident_address; object, street_name; category, cross_street_1; category, cross_street_2; category, intersection_street_1; category, intersection_street_2; category, address_type; category, landmark; category, facility_type; category, status; category, due_date; datetime64[us, UTC], resolution_action_updated_date; datetime64[us, UTC], community_board; category, x_coordinate; float64, y_coordinate; float64, park_facility_name; category, park_borough; category, bbl; float64, open_data_channel_type; category, vehicle_type; category, taxi_company_borough; category, taxi_pickup_location; category, bridge_highway_name; category, bridge_highway_direction; category, road_ramp; category, bridge_highway_segment; category, latitude; float64, longitude; float64, location; object, unique_key; uint32, Unnamed_0; uint32, closed_date; datetime64[us, UTC]"
006_London,"neighbourhood_cleansed; category, host_neighbourhood; category, price; category, room_type; category, reviews_per_month; float64, property_type; category, bedrooms; float64, host_verifications; object, host_acceptance_rate; category, host_identity_verified; category, beds; float64, amenities; object, minimum_nights; uint16, last_review; datetime64[us, UTC], review_scores_rating; float64, instant_bookable; category, calculated_host_listings_count; uint16, first_review; datetime64[us, UTC], number_of_reviews; uint16, accommodates; uint8, listing_url; category, last_scraped; datetime64[us, UTC], source; category, name; object, description; object, neighborhood_overview; object, picture_url; category, host_id; uint32, host_name; category, host_since; datetime64[us, UTC], host_location; category, host_about; object, host_response_time; category, host_response_rate; category, host_is_superhost; category, host_thumbnail_url; category, host_picture_url; category, host_listings_count; float64, host_total_listings_count; float64, host_has_profile_pic; category, neighbourhood; category, latitude; float64, longitude; float64, bathrooms; category, bathrooms_text; category, maximum_nights; uint32, minimum_minimum_nights; float64, maximum_minimum_nights; float64, minimum_maximum_nights; float64, maximum_maximum_nights; float64, minimum_nights_avg_ntm; float64, maximum_nights_avg_ntm; float64, calendar_updated; category, has_availability; category, availability_30; uint8, availability_60; uint8, availability_90; uint8, availability_365; uint16, calendar_last_scraped; datetime64[us, UTC], number_of_reviews_ltm; uint16, number_of_reviews_l30d; uint8, review_scores_accuracy; float64, review_scores_cleanliness; float64, review_scores_checkin; float64, review_scores_communication; float64, review_scores_location; float64, review_scores_value; float64, license; category, calculated_host_listings_count_entire_homes; uint16, calculated_host_listings_count_private_rooms; uint8, calculated_host_listings_count_shared_rooms; uint8, x; float64, y; float64, price_M0jI; category"
007_Fifa,"ID<gx:number>; uint32, Name<gx:text>; category, Age<gx:number>; uint8, Photo<gx:url>; category, Nationality<gx:category>; category, Overall<gx:number>; uint8, Potential<gx:number>; uint8, Club<gx:category>; category, Value_€<gx:currency>; uint32, Wage_€<gx:currency>; uint32, Preferred Foot<gx:category>; category, International Reputation<gx:number>; uint8, Weak Foot<gx:number>; uint8, Skill Moves<gx:number>; uint8, Work Rate<gx:category>; category, Position<gx:category>; category, Joined<gx:date>; category, Contract Valid Until<gx:date>; category, Height_ft<gx:number>; float64, Weight_lbs<gx:number>; uint8, Crossing<gx:number>; uint8, Finishing<gx:number>; uint8, HeadingAccuracy<gx:number>; uint8, ShortPassing<gx:number>; uint8, Volleys<gx:number>; uint8, Dribbling<gx:number>; uint8, Curve<gx:number>; uint8, FKAccuracy<gx:number>; uint8, LongPassing<gx:number>; uint8, BallControl<gx:number>; uint8, Acceleration<gx:number>; uint8, SprintSpeed<gx:number>; uint8, Agility<gx:number>; uint8, Reactions<gx:number>; uint8, Balance<gx:number>; uint8, ShotPower<gx:number>; uint8, Jumping<gx:number>; uint8, Stamina<gx:number>; uint8, Strength<gx:number>; uint8, LongShots<gx:number>; uint8, Aggression<gx:number>; uint8, Interceptions<gx:number>; uint8, Positioning<gx:number>; uint8, Vision<gx:number>; uint8, Penalties<gx:number>; uint8, Composure<gx:number>; uint8, Marking<gx:number>; category, StandingTackle<gx:number>; uint8, SlidingTackle<gx:number>; uint8, GKDiving<gx:number>; uint8, GKHandling<gx:number>; uint8, GKKicking<gx:number>; uint8, GKPositioning<gx:number>; uint8, GKReflexes<gx:number>; uint8, Best Position<gx:category>; category, Best Overall Rating<gx:number>; uint8, DefensiveAwareness<gx:number>; uint8, General Postion<gx:category>; category, Legend; bool"
008_Tornados,"yr; uint16, mo; uint8, dy; uint8, date; datetime64[us, UTC], st; category, mag; int8, inj; uint16, fat; uint8, slat; float64, slon; float64, elat; float64, elon; float64, len; float64, wid; uint16"
009_Central,"DATE; datetime64[us, UTC], PRCP; float64, SNOW; float64, SNWD; float64, TMIN; float64, TMAX; float64"
010_ECommerce,"Clothing ID; uint16, Age; uint8, Title; category, Review Text; object, Rating; uint8, Recommended IND; uint8, Positive Feedback Count; uint8, Division Name; category, Department Name; category, Class Name; category"
