dataset,columns
066_IBM_HR,"Age (int64), Attrition (object, unique_values: ['Yes', 'No']), BusinessTravel (object, unique_values: ['Travel_Rarely', 'Travel_Frequently', 'Non-Travel']), DailyRate (int64), Department (object, unique_values: ['Sales', 'Research & Development', 'Human Resources']), DistanceFromHome (int64), Education (int64, unique_values: [2, 1, 4, 3, 5]), EducationField (object, unique_values: ['Life Sciences', 'Other', 'Medical', 'Marketing', 'Technical Degree', 'Human Resources']), EmployeeCount (int64, unique_values: [1]), EmployeeNumber (int64), EnvironmentSatisfaction (int64, unique_values: [2, 3, 4, 1]), Gender (object, unique_values: ['Female', 'Male']), HourlyRate (int64), JobInvolvement (int64, unique_values: [3, 2, 4, 1]), JobLevel (int64, unique_values: [2, 1, 3, 4, 5]), JobRole (object, unique_values: ['Sales Executive', 'Research Scientist', 'Laboratory Technician', 'Manufacturing Director', 'Healthcare Representative', 'Manager', 'Sales Representative', 'Research Director', 'Human Resources']), JobSatisfaction (int64, unique_values: [4, 2, 3, 1]), MaritalStatus (object, unique_values: ['Single', 'Married', 'Divorced']), MonthlyIncome (int64), MonthlyRate (int64), NumCompaniesWorked (int64), Over18 (object, unique_values: ['Y']), OverTime (object, unique_values: ['Yes', 'No']), PercentSalaryHike (int64), PerformanceRating (int64, unique_values: [3, 4]), RelationshipSatisfaction (int64, unique_values: [1, 4, 2, 3]), StandardHours (int64, unique_values: [80]), StockOptionLevel (int64, unique_values: [0, 1, 3, 2]), TotalWorkingYears (int64), TrainingTimesLastYear (int64, unique_values: [0, 3, 2, 5, 1, 4, 6]), WorkLifeBalance (int64, unique_values: [1, 3, 2, 4]), YearsAtCompany (int64), YearsInCurrentRole (int64), YearsSinceLastPromotion (int64), YearsWithCurrManager (int64)"
067_TripAdvisor,"ratings (object), title (object), text (object), author (object), date_stayed (object), offering_id (int64), num_helpful_votes (int64), date (object), id (int64), via_mobile (bool, unique_values: [False, True])"
068_WorldBank_Awards,"Procurement Method (object), Fiscal Year (int64, unique_values: [2025, 2024, 2023, 2019, 2022, 2020, 2018, 2021, 2017]), Project Global Practice (object), WB Contract Number (int64), Review type (object, unique_values: ['Post', 'Prior']), Borrower Contract Reference Number (object), Supplier ID (float64), Contract Description (object), Supplier Country Code (object), Borrower Country (object), Procurement Category (object, unique_values: ['Goods', 'Consultant Services', 'Civil Works', 'Non-consulting Services']), Region (object, unique_values: ['Western and Central Africa', 'EAST ASIA AND PACIFIC', 'LATIN AMERICA AND CARIBBEAN', 'Eastern and Southern Africa', 'EUROPE AND CENTRAL ASIA', 'MIDDLE EAST AND NORTH AFRICA', 'SOUTH ASIA', 'OTHER', 'AFRICA']), Project ID (object), Supplier Country (object), Supplier (object), Borrower Country Code (object), Project Name (object), Contract Signing Date (object), As of Date (object, unique_values: ['Aug 05, 2024']), Supplier Contract Amount (USD) (float64)"
069_Taxonomy,"Unique ID (float64), Parent (object), Name (object), Tier 1 (object), Tier 2 (object), Tier 3 (object), Tier 4 (object), Unnamed: 7 (object, unique_values: ['SCD'])"
070_OpenFoodFact,"categories_en (object), code (object), product_name (object), brands (object), labels_en (object), stores (object), countries_en (object), ingredients_analysis_tags (object), ingredients_tags (object), states_en (object), creator (object)"
071_COL,"Rank (int64), Country (object), Cost of Living Index (float64), Rent Index (float64), Cost of Living Plus Rent Index (float64), Groceries Index (float64), Restaurant Price Index (float64), Local Purchasing Power Index (float64)"
072_Admissions,"Serial No. (int64), GRE Score (int64), TOEFL Score (int64), University Rating (int64, unique_values: [4, 3, 2, 5, 1]), SOP (float64, unique_values: [4.5, 4.0, 3.0, 3.5, 2.0, 5.0, 1.5, 1.0, 2.5]), LOR (float64, unique_values: [4.5, 3.5, 2.5, 3.0, 4.0, 1.5, 2.0, 5.0, 1.0]), CGPA (float64), Research (int64, unique_values: [1, 0]), Chance of Admit (float64)"
073_Med_Cost,"age (int64), sex (object, unique_values: ['female', 'male']), bmi (float64), children (int64, unique_values: [0, 1, 3, 2, 5, 4]), smoker (object, unique_values: ['yes', 'no']), region (object, unique_values: ['southwest', 'southeast', 'northwest', 'northeast']), charges (float64)"
074_Lift,"Lifter Name (object), Age (int64), Weight Class (object, unique_values: ['59 kg', '83 kg', '105 kg', '66 kg', '74 kg', '120 kg', '93 kg', '52 kg', 'Open']), Lift Type (object, unique_values: ['Bench Press', 'Squat', 'Deadlift']), Amount Lifted (kg) (int64)"
075_Mortality,"rownames (int64), Region (object), Status (object, unique_values: ['Urban', 'Rural']), Sex (object, unique_values: ['Male', 'Female']), Cause (object), Rate (float64), SE (float64)"
