Dataset_ID,Columns
001_Forbes,"rank, personName, age, finalWorth, category, source, country, state, city, organization, selfMade, gender, birthDate, title, philanthropyScore, bio, about"
002_Titanic,"Survived, Pclass, Name, Sex, Age, Siblings_Spouses Aboard, Parents_Children Aboard, Fare"
003_Love,"Submitted at, What is your age? 👶🏻👵🏻, What's your nationality?, What is your civil status? 💍, What's your sexual orientation?, Do you have children? 🍼, What is the maximum level of studies you have achieved? 🎓, Gross annual salary (in euros) 💸, What's your height? in cm 📏, What's your weight? in Kg ⚖️, What is your body complexity? 🏋️, What is your eye color? 👁️, What is your hair color? 👩🦰👱🏽, What is your skin tone?, How long is your hair? 💇🏻♀️💇🏽♂️, How long is your facial hair? 🧔🏻, How often do you wear glasses? 👓, How attractive do you consider yourself?, Have you ever use an oline dating app?, Where have you met your sexual partners? (In a Bar or Restaurant), Where have you met your sexual partners? (Through Friends), Where have you met your sexual partners? (Through Work or as Co-Workers), Where have you met your sexual partners? (Through Family), Where have you met your sexual partners? (in University), Where have you met your sexual partners? (in Primary or Secondary School), Where have you met your sexual partners? (Neighbors), Where have you met your sexual partners? (in Church), Where have you met your sexual partners? (Other), How many people have you kissed?, How many sexual partners have you had?, How many people have you considered as your boyfriend_girlfriend?, How many times per month did you practice sex lately?, Happiness scale, What area of knowledge is closer to you?, If you are in a relationship, how long have you been with your partner?"
004_Taxi,"VendorID, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, RatecodeID, store_and_fwd_flag, PULocationID, DOLocationID, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge, Airport_fee, airport_fee"
005_NYC,"segmentation_1, descriptor, complaint_type, created_date, borough, hour, month_name, weekday_name, agency, resolution_description, agency_name, city, location_type, incident_zip, incident_address, street_name, cross_street_1, cross_street_2, intersection_street_1, intersection_street_2, address_type, landmark, facility_type, status, due_date, resolution_action_updated_date, community_board, x_coordinate, y_coordinate, park_facility_name, park_borough, bbl, open_data_channel_type, vehicle_type, taxi_company_borough, taxi_pickup_location, bridge_highway_name, bridge_highway_direction, road_ramp, bridge_highway_segment, latitude, longitude, location, unique_key, Unnamed_0, closed_date"
006_London,"neighbourhood_cleansed, host_neighbourhood, price, room_type, reviews_per_month, property_type, bedrooms, host_verifications, host_acceptance_rate, host_identity_verified, beds, amenities, minimum_nights, last_review, review_scores_rating, instant_bookable, calculated_host_listings_count, first_review, number_of_reviews, accommodates, listing_url, last_scraped, source, name, description, neighborhood_overview, picture_url, host_id, host_name, host_since, host_location, host_about, host_response_time, host_response_rate, host_is_superhost, host_thumbnail_url, host_picture_url, host_listings_count, host_total_listings_count, host_has_profile_pic, neighbourhood, latitude, longitude, bathrooms, bathrooms_text, maximum_nights, minimum_minimum_nights, maximum_minimum_nights, minimum_maximum_nights, maximum_maximum_nights, minimum_nights_avg_ntm, maximum_nights_avg_ntm, calendar_updated, has_availability, availability_30, availability_60, availability_90, availability_365, calendar_last_scraped, number_of_reviews_ltm, number_of_reviews_l30d, review_scores_accuracy, review_scores_cleanliness, review_scores_checkin, review_scores_communication, review_scores_location, review_scores_value, license, calculated_host_listings_count_entire_homes, calculated_host_listings_count_private_rooms, calculated_host_listings_count_shared_rooms, x, y, price_M0jI"
007_Fifa,"ID<gx:number>, Name<gx:text>, Age<gx:number>, Photo<gx:url>, Nationality<gx:category>, Overall<gx:number>, Potential<gx:number>, Club<gx:category>, Value_€<gx:currency>, Wage_€<gx:currency>, Preferred Foot<gx:category>, International Reputation<gx:number>, Weak Foot<gx:number>, Skill Moves<gx:number>, Work Rate<gx:category>, Position<gx:category>, Joined<gx:date>, Contract Valid Until<gx:date>, Height_ft<gx:number>, Weight_lbs<gx:number>, Crossing<gx:number>, Finishing<gx:number>, HeadingAccuracy<gx:number>, ShortPassing<gx:number>, Volleys<gx:number>, Dribbling<gx:number>, Curve<gx:number>, FKAccuracy<gx:number>, LongPassing<gx:number>, BallControl<gx:number>, Acceleration<gx:number>, SprintSpeed<gx:number>, Agility<gx:number>, Reactions<gx:number>, Balance<gx:number>, ShotPower<gx:number>, Jumping<gx:number>, Stamina<gx:number>, Strength<gx:number>, LongShots<gx:number>, Aggression<gx:number>, Interceptions<gx:number>, Positioning<gx:number>, Vision<gx:number>, Penalties<gx:number>, Composure<gx:number>, Marking<gx:number>, StandingTackle<gx:number>, SlidingTackle<gx:number>, GKDiving<gx:number>, GKHandling<gx:number>, GKKicking<gx:number>, GKPositioning<gx:number>, GKReflexes<gx:number>, Best Position<gx:category>, Best Overall Rating<gx:number>, DefensiveAwareness<gx:number>, General Postion<gx:category>, Legend"
008_Tornados,"yr, mo, dy, date, st, mag, inj, fat, slat, slon, elat, elon, len, wid"
009_Central,"DATE, PRCP, SNOW, SNWD, TMIN, TMAX"
010_ECommerce,"Clothing ID, Age, Title, Review Text, Rating, Recommended IND, Positive Feedback Count, Division Name, Department Name, Class Name"
011_SF,"Incident Datetime, Incident Date, Incident Time, Incident Year, Incident Day of Week, Report Datetime, Row ID, Incident ID, Incident Number, CAD Number, Report Type Code, Report Type Description, Filed Online, Incident Code, Incident Category, Incident Subcategory, Incident Description, Resolution, Intersection, CNN, Police District, Analysis Neighborhood, Supervisor District, Supervisor District 2012, Latitude, Longitude, Point, Neighborhoods, ESNCAG - Boundary File, Central Market/Tenderloin Boundary Polygon - Updated, Civic Center Harm Reduction Project Boundary, HSOC Zones as of 2018-06-05, Invest In Neighborhoods (IIN) Areas, Current Supervisor Districts, Current Police Districts"
012_Heart,"Age, Sex, ChestPainType, RestingBP, Cholesterol, FastingBS, RestingECG, MaxHR, ExerciseAngina, Oldpeak, ST_Slope, HeartDisease"
