question,answer,type,columns_used,column_types,sample_answer,dataset,query
Does the youngest billionaire identify as male?,TRUE,boolean,"['age', 'gender']","['number[UInt8]', 'category']",TRUE,001_Forbes,df[(df['gender'] == 'M') & (df['age'] == df['age'].min())].shape[0] > 0
What is the title of the billionaire with the lowest rank?,,category,"['rank', 'title']","['number[uint16]', 'category']",,001_Forbes,"df.loc[df['rank'] == df['rank'].max(), 'title'].astype(str).replace('nan', '').iloc[0]"
List the top 4 cities where the youngest billionaires live.,"['', 'Los Angeles', 'Jiaozuo', 'Oslo']",list[category],"['age', 'city']","['number[UInt8]', 'category']","['San Francisco', 'New York', 'Wuhan', 'Bangalore']",001_Forbes,"df.sort_values('age').head(4)['city'].astype(str).replace('nan', '').tolist()"
List the bottom 2 countries with the least number of billionaires.,"['Colombia', 'Andorra']",list[category],['country'],['category'],"['Canada', 'Egypt']",001_Forbes,df['country'].value_counts(ascending=True).head(2).index.tolist()
List the top 4 ranks of female billionaires.,"[14, 18, 21, 30]",list[number],"['gender', 'rank']","['category', 'number[uint16]']",[],001_Forbes,"df.loc[df['gender'] == 'F'].nsmallest(4, 'rank')['rank'].tolist()"
"Among those who survived, which fare range was the most common: (0-50, 50-100, 100-150, 150+)?",0-50,category,"[Fare, Survived]","['number[double]', 'boolean']",0-50,002_Titanic,df[df['Survived'] == True]['Fare'].apply(lambda x: '0-50' if x <= 50 else '50-100' if x <= 100 else '100-150' if x <= 150 else '150+').value_counts().idxmax()
"Could you list the lower 3 fare ranges by number of survivors: (0-50, 50-100, 100-150, 150+)?","['50-100', '150+', '100-150']",list[category],"[Fare, Survived]","['number[double]', 'boolean']","[50-100, 150+, 100-150]",002_Titanic,df[df['Survived'] == True]['Fare'].apply(lambda x: '0-50' if x <= 50 else '50-100' if x <= 100 else '100-150' if x <= 150 else '150+').value_counts(ascending=False).tail(3).index.tolist()
"What are the top 4 age ranges('30-50', '18-30', '0-18', '50+') with the highest number of survivors?","['30-50', '18-30', '0-18', '50+']",list[category],"[Age, Survived]","['number[UInt8]', 'boolean']","[30-50, 18-30, 0-18, 50+]",002_Titanic,df[df['Survived'] == True]['Age'].apply(lambda x: '0-18' if x <= 18 else '18-30' if x <= 30 else '30-50' if x <= 50 else '50+').value_counts().head(4).index.tolist()
Which are the top 4 fares paid by survivors?,"[512.239, 512.239, 512.239, 263]",list[number],"[Fare, Survived]","['number[double]', 'boolean']","[133.65, 39.0, 35.5, 30.5]",002_Titanic,df[df['Survived'] == True]['Fare'].nlargest(4).tolist()
How many respondents wear glasses all the time?,98,number,['How often do you wear glasses? 👓'],['category'],5,003_Love,df.loc[df['How often do you wear glasses? 👓'] == 'Constantly'].shape[0]
Identify the 5 largest total amounts paid for trips.,"[80.0, 80.0, 80.0, 80.0, 80.0]",list[number],['total_amount'],['number[double]'],"[45.8,39.9,33.2,25.2,24.87]",004_Taxi,df['total_amount'].nlargest(5).tolist()  
Are there any complaints made in Brooklyn?,TRUE,boolean,['borough'],['category'],TRUE,005_NYC,"(df['borough'].str.contains('Brooklyn', case=False, na=False)).any()  "
Is the Mayor's office of special enforcement one of the agencies handling complaints?,TRUE,boolean,['agency'],['category'],FALSE,005_NYC,"df['agency'].astype(str).str.contains('OFFICE OF SPECIAL ENFORCEMENT', case=False, na=False).any()  "
How many complaints have been made in Queens?,23110,number,['borough'],['category'],0,005_NYC,"df[df['borough'].str.contains('Queens', case=False, na=False)].shape[0] "
Name the 2 least frequent descriptors for complaints by inverse alphabetical order.,"['Booting Company', 'Ready NY - Businesses', 'Animal']",list[category],['descriptor'],['category'],"['Structure - Outdoors, Air: Odor/Fumes', 'Restaurant (AD2)', '12 Dead Animals']",005_NYC,"sorted(df['descriptor'].value_counts(ascending=True).index[:2], reverse=True)  "
Which 2 hours see the least complaints?,"[6, 2]",list[number],['hour'],['number[uint8]'],"[7, 8]",005_NYC,df['hour'].value_counts().nsmallest(2).index.tolist()  
How many listings don't have a valid price?,0,number,['price'],['category'],0,006_London,"df['price'].astype(object).apply(lambda x: isinstance(x, str)).sum()"
Which host verification method is the least used?,photographer,category,['host_verifications'],['list[category]'],[phone],006_London,df['host_verifications'].explode().value_counts().idxmin()  
List the 2 most common host verification methods.,"['phone', 'email']",list[category],['host_verifications'],['list[category]'],"['email', 'phone']",006_London,df['host_verifications'].explode().value_counts().head(2).index.tolist()  
Are there any players who are taller than 6 feet and have an agility score above 90?,FALSE,boolean,"['Height_ft<gx:number>', 'Agility<gx:number>']","['number[double]', 'number[uint8]']",FALSE,007_Fifa,((df['Height_ft<gx:number>'] > 6) & (df['Agility<gx:number>'] > 90)).any()  
