conversations,dataset_name
"[{'role': 'user', 'content': 'Question: Is the person with the highest net worth self-made? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df.loc[df['finalWorth'].idxmax(), 'selfMade']""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: Is the city with the most billionaires in the United States? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""(df[df['country'] == 'United States']['city'].mode()[0] == df['city'].mode()[0])""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: Is there a non-self-made billionaire in the top 5 ranks? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""(df[df['rank'] <= 5]['selfMade'] == False).any()""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: Does the oldest billionaire have a philanthropy score of 5? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df.loc[df['age'] == df['age'].max(), 'philanthropyScore'].iloc[0] == 5""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: What is the age of the youngest billionaire? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df['age'].min()""}]",001_Forbes
"[{'role': 'user', 'content': ""Question: How many billionaires are there from the 'Technology' category? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object""}, {'role': 'assistant', 'content': ""df[df['category'] == 'Technology'].shape[0]""}]",001_Forbes
"[{'role': 'user', 'content': ""Question: What's the total worth of billionaires in the 'Automotive' category? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object""}, {'role': 'assistant', 'content': ""df[df['category'] == 'Automotive']['finalWorth'].sum()""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: How many billionaires have a philanthropy score above 3? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df[df['philanthropyScore'] > 3].shape[0]""}]",001_Forbes
"[{'role': 'user', 'content': ""Question: What's the rank of the wealthiest non-self-made billionaire? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object""}, {'role': 'assistant', 'content': ""df[df['selfMade'] == False].nsmallest(1, 'rank')['rank'].iloc[0]""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: Which category does the richest billionaire belong to? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df.loc[df['finalWorth'] == df['finalWorth'].max(), 'category'].iloc[0]""}]",001_Forbes
"[{'role': 'user', 'content': ""Question: What's the country of origin of the oldest billionaire? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object""}, {'role': 'assistant', 'content': ""df.loc[df['age'] == df['age'].max(), 'country'].iloc[0]""}]",001_Forbes
"[{'role': 'user', 'content': ""Question: What's the gender of the billionaire with the highest philanthropy score? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object""}, {'role': 'assistant', 'content': ""df.loc[df['philanthropyScore'].idxmax(), 'gender']""}]",001_Forbes
"[{'role': 'user', 'content': ""Question: What's the source of wealth for the youngest billionaire? \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object""}, {'role': 'assistant', 'content': ""df.loc[df['age'] == df['age'].min(), 'source'].iloc[0]""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: List the top 3 countries with the most billionaires. \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df['country'].value_counts().nlargest(3).index.tolist()""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: List the top 5 sources of wealth for billionaires. \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df['source'].value_counts().nlargest(5).index.tolist()""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: List the bottom 3 categories with the fewest billionaires. \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df['category'].value_counts().nsmallest(3).index.tolist()""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: List the top 5 ranks of billionaires who are not self-made. \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df[df['selfMade'] == False].nsmallest(5, 'rank')['rank'].tolist()""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: List the bottom 3 ages of billionaires who have a philanthropy score of 5. \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object'}, {'role': 'assistant', 'content': ""df[df['philanthropyScore'] == 5].nsmallest(3, 'age')['age'].tolist()""}]",001_Forbes
"[{'role': 'user', 'content': ""Question: List the top 6 final worth values of billionaires in the 'Technology' category. \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object""}, {'role': 'assistant', 'content': ""df[df['category'] == 'Technology'].nlargest(6, 'finalWorth')['finalWorth'].tolist()""}]",001_Forbes
"[{'role': 'user', 'content': ""Question: List the top 2 final worth values of billionaires in the 'Automotive' category. \n Dataset Columns: rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object""}, {'role': 'assistant', 'content': ""df[df['category'] == 'Automotive'].nlargest(2, 'finalWorth')['finalWorth'].tolist()""}]",001_Forbes
"[{'role': 'user', 'content': 'Question: Were there any passengers who paid a fare of more than $500? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""(df['Fare'] > 500).any()""}]",002_Titanic
"[{'role': 'user', 'content': ""Question: Is every passenger's name unique? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64""}, {'role': 'assistant', 'content': ""df['Name'].is_unique""}]",002_Titanic
"[{'role': 'user', 'content': 'Question: Were there any female passengers in the 3rd class who survived? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""(df[(df['Sex'] == 'female') & (df['Pclass'] == 3) & (df['Survived'] == True)].shape[0] > 0)""}]",002_Titanic
"[{'role': 'user', 'content': 'Question: How many unique passenger classes are present in the dataset? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""df['Pclass'].nunique()""}]",002_Titanic
"[{'role': 'user', 'content': ""Question: What's the maximum age of the passengers? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64""}, {'role': 'assistant', 'content': ""df['Age'].max()""}]",002_Titanic
"[{'role': 'user', 'content': 'Question: How many passengers boarded without any siblings or spouses? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""df[df['Siblings_Spouses Aboard'] == 0].shape[0]""}]",002_Titanic
"[{'role': 'user', 'content': 'Question: On average, how much fare did the passengers pay? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""df['Fare'].mean()""}]",002_Titanic
"[{'role': 'user', 'content': 'Question: Which passenger class has the highest number of survivors? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""df[df['Survived'] == True]['Pclass'].mode().iloc[0]""}]",002_Titanic
"[{'role': 'user', 'content': ""Question: What's the most common gender among the survivors? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64""}, {'role': 'assistant', 'content': ""df[df['Survived'] == True]['Sex'].mode().iloc[0]""}]",002_Titanic
"[{'role': 'user', 'content': ""Question: What's the most common age range among passengers: (0-18, 18-30, 30-50, 50+)? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64""}, {'role': 'assistant', 'content': ""df['Age'].dropna().apply(lambda x: '0-18' if x <= 18 else '18-30' if x <= 30 else '30-50' if x <= 50 else '50+').mode()[0]""}]",002_Titanic
"[{'role': 'user', 'content': 'Question: Name the top 3 passenger classes by survival rate. \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""df.groupby('Pclass')['Survived'].mean().nlargest(3).index.tolist()""}]",002_Titanic
"[{'role': 'user', 'content': 'Question: What are the top 2 genders by average fare paid? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""df.groupby('Sex')['Fare'].mean().nlargest(2).index.tolist()""}]",002_Titanic
"[{'role': 'user', 'content': 'Question: What are the oldest 3 ages among the survivors? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""df[df['Survived'] == True].nlargest(3, 'Age')['Age'].tolist()""}]",002_Titanic
"[{'role': 'user', 'content': 'Question: Could you list the youngest 3 ages among the survivors? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64'}, {'role': 'assistant', 'content': ""df[df['Survived'] == True].nsmallest(3, 'Age')['Age'].tolist()""}]",002_Titanic
"[{'role': 'user', 'content': ""Question: Which are the lowest 4 fares among those who didn't survive? \n Dataset Columns: Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64""}, {'role': 'assistant', 'content': ""df[df['Survived'] == False].nsmallest(4, 'Fare')['Fare'].tolist()""}]",002_Titanic
"[{'role': 'user', 'content': ""Question: Is the average age of the respondents above 30? \n Dataset Columns: Submitted at; datetime64[us, UTC], What is your age? 👶🏻👵🏻; uint8, What's your nationality?; category, What is your civil status? 💍; category, What's your sexual orientation?; category, Do you have children? 🍼; category, What is the maximum level of studies you have achieved? 🎓; category, Gross annual salary (in euros) 💸; float64, What's your height? in cm 📏; uint8, What's your weight? in Kg ⚖️; float64, What is your body complexity? 🏋️; category, What is your eye color? 👁️; category, What is your hair color? 👩🦰👱🏽; category, What is your skin tone?; uint8, How long is your hair? 💇🏻♀️💇🏽♂️; category, How long is your facial hair? 🧔🏻; category, How often do you wear glasses? 👓; category, How attractive do you consider yourself?; uint8, Have you ever use an oline dating app?; category, Where have you met your sexual partners? (In a Bar or Restaurant); bool, Where have you met your sexual partners? (Through Friends); bool, Where have you met your sexual partners? (Through Work or as Co-Workers); bool, Where have you met your sexual partners? (Through Family); bool, Where have you met your sexual partners? (in University); bool, Where have you met your sexual partners? (in Primary or Secondary School); bool, Where have you met your sexual partners? (Neighbors); bool, Where have you met your sexual partners? (in Church); bool, Where have you met your sexual partners? (Other); bool, How many people have you kissed?; uint16, How many sexual partners have you had?; uint16, How many people have you considered as your boyfriend_girlfriend?; uint8, How many times per month did you practice sex lately?; float64, Happiness scale; uint8, What area of knowledge is closer to you?; object, If you are in a relationship, how long have you been with your partner?; float64""}, {'role': 'assistant', 'content': ""(df['What is your age? 👶🏻👵🏻'].mean() > 30)""}]",003_Love
"[{'role': 'user', 'content': ""Question: Are there more single individuals than married ones in the dataset? \n Dataset Columns: Submitted at; datetime64[us, UTC], What is your age? 👶🏻👵🏻; uint8, What's your nationality?; category, What is your civil status? 💍; category, What's your sexual orientation?; category, Do you have children? 🍼; category, What is the maximum level of studies you have achieved? 🎓; category, Gross annual salary (in euros) 💸; float64, What's your height? in cm 📏; uint8, What's your weight? in Kg ⚖️; float64, What is your body complexity? 🏋️; category, What is your eye color? 👁️; category, What is your hair color? 👩🦰👱🏽; category, What is your skin tone?; uint8, How long is your hair? 💇🏻♀️💇🏽♂️; category, How long is your facial hair? 🧔🏻; category, How often do you wear glasses? 👓; category, How attractive do you consider yourself?; uint8, Have you ever use an oline dating app?; category, Where have you met your sexual partners? (In a Bar or Restaurant); bool, Where have you met your sexual partners? (Through Friends); bool, Where have you met your sexual partners? (Through Work or as Co-Workers); bool, Where have you met your sexual partners? (Through Family); bool, Where have you met your sexual partners? (in University); bool, Where have you met your sexual partners? (in Primary or Secondary School); bool, Where have you met your sexual partners? (Neighbors); bool, Where have you met your sexual partners? (in Church); bool, Where have you met your sexual partners? (Other); bool, How many people have you kissed?; uint16, How many sexual partners have you had?; uint16, How many people have you considered as your boyfriend_girlfriend?; uint8, How many times per month did you practice sex lately?; float64, Happiness scale; uint8, What area of knowledge is closer to you?; object, If you are in a relationship, how long have you been with your partner?; float64""}, {'role': 'assistant', 'content': ""(df['What is your civil status? 💍'] == 'Single').sum() > (df['What is your civil status? 💍'] == 'Married').sum()""}]",003_Love
