dataset_id,columns
001_Forbes,"rank (uint16)
personName (category)
age (float64)
finalWorth (uint32)
category (category)
source (category)
country (category)
state (category)
city (category)
organization (category)
selfMade (bool, unique_values: [True, False])
gender (category, unique_values: ['M', 'F'])
birthDate (datetime64[us)
UTC] (unknown)
title (category)
philanthropyScore (float64, unique_values: [1.0, 4.0, 5.0, 2.0, 3.0])
bio (object)
about (object)"
002_Titanic,"Survived (bool, unique_values: [False, True])
Pclass (uint8, unique_values: [3, 1, 2])
Name (object)
Sex (category, unique_values: ['male', 'female'])
Age (float64)
Siblings_Spouses Aboard (uint8, unique_values: [1, 0, 3, 4, 2, 5, 8])
Parents_Children Aboard (uint8, unique_values: [0, 1, 2, 5, 3, 4, 6])
Fare (float64)"
003_Love,"Submitted at (datetime64[us)
UTC] (unknown)
What is your age? 👶🏻👵🏻 (uint8)
What's your nationality? (category)
What is your civil status? 💍 (category, unique_values: ['Married', 'Single', 'In a Relationship', 'In a Relationship Cohabiting', 'Divorced'])
What's your sexual orientation? (category, unique_values: ['Heterosexual', 'Homosexual', 'Bisexual'])
Do you have children? 🍼 (category, unique_values: ['Yes', 'No'])
What is the maximum level of studies you have achieved? 🎓 (category, unique_values: ['PhD', 'Master', 'College Degree', 'High School', 'Technical Education (FP)', 'Secondary Education (ESO)', 'Primary Education'])
Gross annual salary (in euros) 💸 (float64)
What's your height? in cm 📏 (uint8)
What's your weight? in Kg ⚖️ (float64)
What is your body complexity? 🏋️ (category, unique_values: ['Average', 'Muscular', 'Overweight', 'Thin', 'Obese', 'Very thin'])
What is your eye color? 👁️ (category, unique_values: ['Brown', 'Hazel', 'Green', 'Blue', 'Grey', 'Other'])
What is your hair color? 👩🦰👱🏽 (category, unique_values: ['Brown', 'White', 'Black', 'Red', 'Other', 'Grey', 'Blonde', 'Blue'])
What is your skin tone? (uint8, unique_values: [4, 1, 6, 2, 3, 0, 5, 7, 8])
How long is your hair? 💇🏻♀️💇🏽♂️ (category, unique_values: ['Short', 'Long', 'Medium', 'Bald'])
How long is your facial hair? 🧔🏻 (category, unique_values: ['No facial hair', 'Short beard (few days)', 'Medium (weeks)', 'Long (months)'])
How often do you wear glasses? 👓 (category, unique_values: ['Constantly', 'Rarely', 'Occasioanlly', 'Regularly'])
How attractive do you consider yourself? (uint8)
Have you ever use an oline dating app? (category, unique_values: ['No', 'Yes'])
Where have you met your sexual partners? (In a Bar or Restaurant) (bool, unique_values: [False, True])
Where have you met your sexual partners? (Through Friends) (bool, unique_values: [False, True])
Where have you met your sexual partners? (Through Work or as Co-Workers) (bool, unique_values: [False, True])
Where have you met your sexual partners? (Through Family) (bool, unique_values: [False, True])
Where have you met your sexual partners? (in University) (bool, unique_values: [True, False])
Where have you met your sexual partners? (in Primary or Secondary School) (bool, unique_values: [False, True])
Where have you met your sexual partners? (Neighbors) (bool, unique_values: [False, True])
Where have you met your sexual partners? (in Church) (bool, unique_values: [False, True])
Where have you met your sexual partners? (Other) (bool, unique_values: [False, True])
How many people have you kissed? (uint16)
How many sexual partners have you had? (uint16)
How many people have you considered as your boyfriend_girlfriend? (uint8)
How many times per month did you practice sex lately? (float64)
Happiness scale (uint8, unique_values: [9, 7, 10, 8, 6, 4, 5, 3, 2])
What area of knowledge is closer to you? (object)
If you are in a relationship (unknown)
how long have you been with your partner? (float64)"
004_Taxi,"VendorID (uint8, unique_values: [1, 2])
tpep_pickup_datetime (datetime64[us)
UTC] (unknown)
tpep_dropoff_datetime (datetime64[us)
UTC] (unknown)
passenger_count (uint8, unique_values: [2, 1, 5, 0, 3, 4, 6])
trip_distance (float64)
RatecodeID (uint8, unique_values: [1, 5, 2, 4])
store_and_fwd_flag (category, unique_values: ['N', 'Y'])
PULocationID (uint16)
DOLocationID (uint16)
payment_type (uint8, unique_values: [2, 1, 4, 3])
fare_amount (float64)
extra (float64)
mta_tax (float64, unique_values: [0.5, 0.0, 0.8])
tip_amount (float64)
tolls_amount (uint8, unique_values: [0])
improvement_surcharge (float64, unique_values: [1.0, 0.3, 0.0])
total_amount (float64)
congestion_surcharge (float64, unique_values: [2.5])
Airport_fee (float64, unique_values: [0.0])
airport_fee (category, unique_values: [])"
005_NYC,"segmentation_1 (object, unique_values: ['[]', ""['Manhattan Late at night']"", ""['Bronx Late at night']""])
descriptor (category)
complaint_type (category)
created_date (datetime64[us)
UTC] (unknown)
borough (category, unique_values: ['BROOKLYN', 'QUEENS', 'BRONX', 'Unspecified', 'MANHATTAN', 'STATEN ISLAND'])
hour (uint8)
month_name (category)
weekday_name (category, unique_values: ['Friday', 'Wednesday', 'Sunday', 'Thursday', 'Tuesday', 'Monday', 'Saturday'])
agency (category)
resolution_description (category)
agency_name (category)
city (category)
location_type (category)
incident_zip (float64)
incident_address (object)
street_name (category)
cross_street_1 (category)
cross_street_2 (category)
intersection_street_1 (category)
intersection_street_2 (category)
address_type (category, unique_values: ['ADDRESS', 'PLACENAME', 'INTERSECTION', 'BLOCKFACE', 'LATLONG', 'UNRECOGNIZED'])
landmark (category)
facility_type (category, unique_values: ['Precinct', 'DSNY Garage', 'School', 'School District'])
status (category, unique_values: ['Closed', 'Open', 'Pending', 'In Progress', 'Assigned', 'Started', 'Email Sent', 'Unspecified'])
due_date (datetime64[us)
UTC] (unknown)
resolution_action_updated_date (datetime64[us)
UTC] (unknown)
community_board (category)
x_coordinate (float64)
y_coordinate (float64)
park_facility_name (category)
park_borough (category, unique_values: ['BROOKLYN', 'QUEENS', 'BRONX', 'Unspecified', 'MANHATTAN', 'STATEN ISLAND'])
bbl (float64)
open_data_channel_type (category, unique_values: ['ONLINE', 'PHONE', 'MOBILE', 'UNKNOWN', 'OTHER'])
vehicle_type (category, unique_values: ['Car Service', 'Ambulette / Paratransit'])
taxi_company_borough (category, unique_values: ['BRONX', 'BROOKLYN', 'QUEENS', 'MANHATTAN', 'STATEN ISLAND'])
taxi_pickup_location (category)
bridge_highway_name (category)
bridge_highway_direction (category)
road_ramp (category, unique_values: ['Roadway', 'Ramp', 'W 14 St & 6 Av NE corner', 'E 196 St & Grand Concourse', 'E 69 St & 2 Av', 'Houston St & Mulberry St NW corner', '3 Av & E 149 St to Manhattan', 'Lenox Av & Dr Martin Luther King Jr Blvd', 'Classon Av & Lafayette Av'])
bridge_highway_segment (category)
latitude (float64)
longitude (float64)
location (object)
unique_key (uint32)
Unnamed_0 (uint32)
closed_date (datetime64[us)
UTC] (unknown)"
006_London,"neighbourhood_cleansed (category)
host_neighbourhood (category)
price (category, unique_values: [])
room_type (category, unique_values: ['Private room', 'Entire home/apt', 'Shared room', 'Hotel room'])
reviews_per_month (float64)
property_type (category)
bedrooms (float64)
host_verifications (object, unique_values: [""['email' 'phone']"", ""['phone']"", ""['email' 'phone' 'work_email']"", ""['email']"", ""['phone' 'work_email']"", '[]', ""['email' 'work_email']"", ""['None']"", ""['email' 'phone' 'photographer']""])
host_acceptance_rate (category, unique_values: [])
host_identity_verified (category, unique_values: ['f', 't'])
beds (float64)
amenities (object)
minimum_nights (uint16)
last_review (datetime64[us)
UTC] (unknown)
review_scores_rating (float64)
instant_bookable (category, unique_values: ['f', 't'])
calculated_host_listings_count (uint16)
first_review (datetime64[us)
UTC] (unknown)
number_of_reviews (uint16)
accommodates (uint8)
listing_url (category)
last_scraped (datetime64[us, unique_values: ['2023-03-14 00:00:00+00:00', '2023-03-15 00:00:00+00:00', '2023-03-16 00:00:00+00:00', '2023-03-29 00:00:00+00:00'])
UTC] (unknown)
source (category, unique_values: ['city scrape', 'previous scrape'])
name (object)
description (object)
neighborhood_overview (object)
picture_url (category)
host_id (uint32)
host_name (category)
host_since (datetime64[us)
UTC] (unknown)
host_location (category)
host_about (object)
host_response_time (category, unique_values: ['within an hour', 'within a few hours', 'within a day', 'a few days or more'])
host_response_rate (category)
host_is_superhost (category, unique_values: ['f', 't'])
host_thumbnail_url (category)
host_picture_url (category)
host_listings_count (float64)
host_total_listings_count (float64)
host_has_profile_pic (category, unique_values: ['t', 'f'])
neighbourhood (category)
latitude (float64)
longitude (float64)
bathrooms (category, unique_values: [])
bathrooms_text (category)
maximum_nights (uint32)
minimum_minimum_nights (float64)
maximum_minimum_nights (float64)
minimum_maximum_nights (float64)
maximum_maximum_nights (float64)
minimum_nights_avg_ntm (float64)
maximum_nights_avg_ntm (float64)
calendar_updated (category, unique_values: [])
has_availability (category, unique_values: ['t', 'f'])
availability_30 (uint8)
availability_60 (uint8)
availability_90 (uint8)
availability_365 (uint16)
calendar_last_scraped (datetime64[us, unique_values: ['2023-03-14 00:00:00+00:00', '2023-03-15 00:00:00+00:00', '2023-03-16 00:00:00+00:00', '2023-03-29 00:00:00+00:00'])
UTC] (unknown)
number_of_reviews_ltm (uint16)
number_of_reviews_l30d (uint8)
review_scores_accuracy (float64)
review_scores_cleanliness (float64)
review_scores_checkin (float64)
review_scores_communication (float64)
review_scores_location (float64)
review_scores_value (float64)
license (category, unique_values: [])
calculated_host_listings_count_entire_homes (uint16)
calculated_host_listings_count_private_rooms (uint8)
calculated_host_listings_count_shared_rooms (uint8)
x (float64)
y (float64)
price_M0jI (category, unique_values: [])"
007_Fifa,"ID<gx:number> (uint32)
Name<gx:text> (category)
Age<gx:number> (uint8)
Photo<gx:url> (category)
Nationality<gx:category> (category)
Overall<gx:number> (uint8)
Potential<gx:number> (uint8)
Club<gx:category> (category)
Value_€<gx:currency> (uint32)
Wage_€<gx:currency> (uint32)
Preferred Foot<gx:category> (category, unique_values: ['Right', 'Left'])
International Reputation<gx:number> (uint8, unique_values: [5, 4, 2, 3, 1])
Weak Foot<gx:number> (uint8, unique_values: [4, 5, 3, 2, 1])
Skill Moves<gx:number> (uint8, unique_values: [3, 4, 5, 2, 1])
Work Rate<gx:category> (category, unique_values: ['High/ Medium', 'High/ High', 'Medium/ Medium', 'Medium/ High', 'Medium/ Low', 'High/ Low', 'Low/ High', 'Low/ Low', 'Low/ Medium'])
Position<gx:category> (category)
Joined<gx:date> (category)
Contract Valid Until<gx:date> (category)
Height_ft<gx:number> (float64)
Weight_lbs<gx:number> (uint8)
Crossing<gx:number> (uint8)
Finishing<gx:number> (uint8)
HeadingAccuracy<gx:number> (uint8)
ShortPassing<gx:number> (uint8)
Volleys<gx:number> (uint8)
Dribbling<gx:number> (uint8)
Curve<gx:number> (uint8)
FKAccuracy<gx:number> (uint8)
LongPassing<gx:number> (uint8)
BallControl<gx:number> (uint8)
Acceleration<gx:number> (uint8)
SprintSpeed<gx:number> (uint8)
Agility<gx:number> (uint8)
Reactions<gx:number> (uint8)
Balance<gx:number> (uint8)
ShotPower<gx:number> (uint8)
Jumping<gx:number> (uint8)
Stamina<gx:number> (uint8)
Strength<gx:number> (uint8)
LongShots<gx:number> (uint8)
Aggression<gx:number> (uint8)
Interceptions<gx:number> (uint8)
Positioning<gx:number> (uint8)
Vision<gx:number> (uint8)
Penalties<gx:number> (uint8)
Composure<gx:number> (uint8)
Marking<gx:number> (category, unique_values: [])
StandingTackle<gx:number> (uint8)
SlidingTackle<gx:number> (uint8)
GKDiving<gx:number> (uint8)
GKHandling<gx:number> (uint8)
GKKicking<gx:number> (uint8)
GKPositioning<gx:number> (uint8)
GKReflexes<gx:number> (uint8)
Best Position<gx:category> (category)
Best Overall Rating<gx:number> (uint8)
DefensiveAwareness<gx:number> (uint8)
General Postion<gx:category> (category, unique_values: ['FWD', 'MD', 'DF', 'GK'])
Legend (bool, unique_values: [False])"
008_Tornados,"yr (uint16)
mo (uint8)
dy (uint8)
date (datetime64[us)
UTC] (unknown)
st (category)
mag (int8, unique_values: [3, 1, 2, 4, 0, 5, -9])
inj (uint16)
fat (uint8)
slat (float64)
slon (float64)
elat (float64)
elon (float64)
len (float64)
wid (uint16)"
009_Central,"DATE (datetime64[us)
UTC] (unknown)
PRCP (float64)
SNOW (float64)
SNWD (float64)
TMIN (float64)
TMAX (float64)"
010_ECommerce,"Clothing ID (uint16)
Age (uint8)
Title (category)
Review Text (object)
Rating (uint8, unique_values: [4, 5, 3, 2, 1])
Recommended IND (uint8, unique_values: [1, 0])
Positive Feedback Count (uint8)
Division Name (category, unique_values: ['Initmates', 'General', 'General Petite'])
Department Name (category, unique_values: ['Intimate', 'Dresses', 'Bottoms', 'Tops', 'Jackets', 'Trend'])
Class Name (category)"
