question,answer,type,columns_used,column_types,sample_answer,dataset,query
Does the youngest billionaire identify as male?,TRUE,boolean,"['age', 'gender']","['number[UInt8]', 'category']",TRUE,001_Forbes,df[(df['gender'] == 'M') & (df['age'] == df['age'].min())].shape[0] > 0
List the top 4 cities where the youngest billionaires live.,"['', 'Los Angeles', 'Jiaozuo', 'Oslo']",list[category],"['age', 'city']","['number[UInt8]', 'category']","['San Francisco', 'New York', 'Wuhan', 'Bangalore']",001_Forbes,"df.sort_values('age').head(4)['city'].astype(str).replace('nan', '').tolist()"
List the top 4 ranks of female billionaires.,"[14, 18, 21, 30]",list[number],"['gender', 'rank']","['category', 'number[uint16]']",[],001_Forbes,"df.loc[df['gender'] == 'F'].nsmallest(4, 'rank')['rank'].tolist()"
"Among those who survived, which fare range was the most common: (0-50, 50-100, 100-150, 150+)?",0-50,category,"[Fare, Survived]","['number[double]', 'boolean']",0-50,002_Titanic,df[df['Survived'] == True]['Fare'].apply(lambda x: '0-50' if x <= 50 else '50-100' if x <= 100 else '100-150' if x <= 150 else '150+').value_counts().idxmax()
"Could you list the lower 3 fare ranges by number of survivors: (0-50, 50-100, 100-150, 150+)?","['50-100', '150+', '100-150']",list[category],"[Fare, Survived]","['number[double]', 'boolean']","[50-100, 150+, 100-150]",002_Titanic,df[df['Survived'] == True]['Fare'].apply(lambda x: '0-50' if x <= 50 else '50-100' if x <= 100 else '100-150' if x <= 150 else '150+').value_counts(ascending=False).tail(3).index.tolist()
"What are the top 4 age ranges('30-50', '18-30', '0-18', '50+') with the highest number of survivors?","['30-50', '18-30', '0-18', '50+']",list[category],"[Age, Survived]","['number[UInt8]', 'boolean']","[30-50, 18-30, 0-18, 50+]",002_Titanic,df[df['Survived'] == True]['Age'].apply(lambda x: '0-18' if x <= 18 else '18-30' if x <= 30 else '30-50' if x <= 50 else '50+').value_counts().head(4).index.tolist()
Which are the top 4 fares paid by survivors?,"[512.239, 512.239, 512.239, 263]",list[number],"[Fare, Survived]","['number[double]', 'boolean']","[133.65, 39.0, 35.5, 30.5]",002_Titanic,df[df['Survived'] == True]['Fare'].nlargest(4).tolist()
How many respondents wear glasses all the time?,98,number,['How often do you wear glasses? 👓'],['category'],5,003_Love,df.loc[df['How often do you wear glasses? 👓'] == 'Constantly'].shape[0]
Are there any complaints made in Brooklyn?,TRUE,boolean,['borough'],['category'],TRUE,005_NYC,"(df['borough'].str.contains('Brooklyn', case=False, na=False)).any()  "
Is the Mayor's office of special enforcement one of the agencies handling complaints?,TRUE,boolean,['agency'],['category'],FALSE,005_NYC,"df['agency'].astype(str).str.contains('OFFICE OF SPECIAL ENFORCEMENT', case=False, na=False).any()  "
How many complaints have been made in Queens?,23110,number,['borough'],['category'],0,005_NYC,"df[df['borough'].str.contains('Queens', case=False, na=False)].shape[0] "
How many listings don't have a valid price?,0,number,['price'],['category'],0,006_London,"df['price'].astype(object).apply(lambda x: isinstance(x, str)).sum()"
Are there any players who are taller than 6 feet and have an agility score above 90?,FALSE,boolean,"['Height_ft<gx:number>', 'Agility<gx:number>']","['number[double]', 'number[uint8]']",FALSE,007_Fifa,((df['Height_ft<gx:number>'] > 6) & (df['Agility<gx:number>'] > 90)).any()  
There were no days when the precipitation was greater than 5 inches.,TRUE,boolean,[PRCP],['number[double]'],TRUE,009_Central,(df['PRCP'] <= 5).all()
What are the three most common incident descriptions?,"[Theft, From Locked Vehicle, >$950, [Malicious Mischief], Vandalism to Property, Battery, Lost Property, Vehicle]",list[category],[Incident Description],['category'],"['Investigative Detention', 'Theft, From Locked Vehicle, $200-$950', 'Assault, Aggravated, W/ Other Weapon']",011_SF,df['Incident Description'].value_counts().nlargest(3).index.tolist()
What are the 4 most common chest pain types among male patients?,"['TA', 'ATA', 'NAP', 'ASY']",list[category],"['ChestPainType', 'Sex']","['category', 'category']","['TA', 'ATA', 'NAP', 'ASY']",012_Heart,df[df['Sex'] == 'M']['ChestPainType'].value_counts().nlargest(4).index.tolist()
What type of the roller coaster is the oldest in the dataset?,Wood,category,"[Type, Opening date]","['category', 'category']",Other,013_Roller,df[df['year_introduced'] == df['year_introduced'].min()]['Type'].iloc[0]
Name the 4 oldest roller coasters in the dataset.,"[Switchback Railway, Flip Flap Railway, Loop the Loop (Coney Island), Loop the Loop (Young's Pier)]",list[category],"[coaster_name, Opening date]","['category', 'category']","[\'Zipper Dipper\', \'Runaway Mine Train (Six Flags Over Texas)\', \'The Bush Beast\', \'Canyon Blaster (Adventuredome)\']",013_Roller,df.sort_values('opening_date_clean').head(4)['coaster_name'].tolist()
Name the introduction years of the 6 oldest roller coasters in the dataset.,"[1884, 1895, 1901, 1901, 1902, 1902]",list[number],"[year_introduced, Opening date]","['number[uint16]', 'category']","[1934, 1966, 1985, 1993, 1996, 1999]",013_Roller,df.sort_values('opening_date_clean').head(6)['year_introduced'].tolist()
What is the acceptance rate of the host of the property that can accommodate the most number of guests?,100%,category,"['accommodates', 'host_acceptance_rate']","['number[uint8]', 'category']",100%,014_Airbnb,"df.loc[df['accommodates'] == df['accommodates'].max(), 'host_acceptance_rate'].iloc[df.loc[df['accommodates'] == df['accommodates'].max(), 'host_acceptance_rate'].str.rstrip('%').astype(float).argmax()]"
Which are the 2 lowest values of host response rates above 0% ?,"['5%', '10%']",list[category],['host_response_rate'],['category'],"['73%', '83%']",014_Airbnb,"pd.to_numeric(df['host_response_rate'].str.rstrip('%'), errors='coerce').dropna().loc[lambda x: x > 0].nsmallest(2).apply(lambda x: f'{int(x)}%').tolist()"
Which are the 2 lowest values of host response rates?,"['0%', '0%']",list[category],['host_response_rate'],['category'],"['73%', '83%']",014_Airbnb,"pd.to_numeric(df['host_response_rate'].str.rstrip('%'), errors='coerce').dropna().nsmallest(2).apply(lambda x: f'{int(x)}%').tolist()"
Were there any employees hired in 2019?,TRUE,boolean,[Date Hired],"['date[ns, UTC]']",FALSE,018_Staff,pd.to_datetime(df['Date Hired']).dt.year.eq(2019).any()
Which year had the highest number of employees hired?,2017,category,[Date Hired],"['date[ns, UTC]']",2017,018_Staff,pd.to_datetime(df['Date Hired']).dt.year.value_counts().idxmax()
Identify the top 3 years with the highest employee hiring.,"['2017', '2018', '2016']",list[number],[Date Hired],"['date[ns, UTC]']","[2017, 2016, 2018]",018_Staff,pd.to_datetime(df['Date Hired']).dt.year.value_counts().head(3).index.tolist()
Did any incident result in the total destruction of the aircraft?,TRUE,boolean,['Aircaft_Damage_Type'],['category'],FALSE,019_Aircraft,"df['Aircaft_Damage_Type'].astype(str).str.lower().isin(['destroyed', 'damaged beyond repair']).any()"
Has there been any instance where the ground casualties were non-zero?,TRUE,boolean,['Ground_Casualties'],['category'],TRUE,019_Aircraft,df['Ground_Casualties'].astype(str).str.strip().ne('0').any()
What's the highest number of occupants recorded in an incident?,524,number,['Onboard_Total'],['category'],86,019_Aircraft,df['Onboard_Total'].str.extract(r'Occupants:\s*(\d+)')[0].astype(float).max()
How many incidents occurred in January 2022?,7,number,['Date'],"['date[ns, UTC]']",0,019_Aircraft,df.loc[(pd.to_datetime(df['Date']).dt.year == 2022) & (pd.to_datetime(df['Date']).dt.month == 1)].shape[0]
What is the location of the incident with the highest number of onboard occupants?,near Ueno Village...,category,"['Incident_Location', 'Onboard_Total']","['category', 'category']",Sioux Falls ...,019_Aircraft,"df.loc[df['Onboard_Total'].str.extract(r'Occupants:\s*(\d+)')[0].astype(float).idxmax(), 'Incident_Location']"
What are the 5 highest numbers of onboard passengers in incidents?,"[509.0, 503.0, 497.0, 451.0, 440.0]",list[number],['Onboard_Passengers'],['category'],"[81, 39, 14, 11, 8]",019_Aircraft,"df['Onboard_Passengers'].str.extract(r'Occupants: (\d+)', expand=False).astype(float).nlargest(5).tolist()"
List the 3 highest numbers of onboard crew in incidents.,"[32.0, 31.0, 29.0]",list[number],['Onboard_Crew'],['category'],"[5, 4, 3]",019_Aircraft,"df['Onboard_Crew'].str.extract(r'Occupants: (\d+)', expand=False).astype(float).nlargest(3).tolist()"
Identify the 4 highest numbers of total onboard occupants in incidents.,"[524.0, 521.0, 517.0, 469.0]",list[number],['Onboard_Total'],['category'],"[86, 44, 19, 15]",019_Aircraft,"df['Onboard_Total'].str.extract(r'Occupants: (\d+)', expand=False).astype(float).nlargest(4).tolist()"
Were there days in the summer where the minimum temperature dropped below 10?,TRUE,boolean,"[season, tmin]","['category', 'number[double]']",FALSE,023_Climate,df.loc[(df['season'] == 'Summer') & (df['tmin'] < 10)].shape[0] > 0
