dataset,columns
066_IBM_HR,"Age (int64), Attrition (object), BusinessTravel (object), DailyRate (int64), Department (object), DistanceFromHome (int64), Education (int64), EducationField (object), EmployeeCount (int64), EmployeeNumber (int64), EnvironmentSatisfaction (int64), Gender (object), HourlyRate (int64), JobInvolvement (int64), JobLevel (int64), JobRole (object), JobSatisfaction (int64), MaritalStatus (object), MonthlyIncome (int64), MonthlyRate (int64), NumCompaniesWorked (int64), Over18 (object), OverTime (object), PercentSalaryHike (int64), PerformanceRating (int64), RelationshipSatisfaction (int64), StandardHours (int64), StockOptionLevel (int64), TotalWorkingYears (int64), TrainingTimesLastYear (int64), WorkLifeBalance (int64), YearsAtCompany (int64), YearsInCurrentRole (int64), YearsSinceLastPromotion (int64), YearsWithCurrManager (int64)"
067_TripAdvisor,"ratings (object), title (object), text (object), author (object), date_stayed (object), offering_id (int64), num_helpful_votes (int64), date (object), id (int64), via_mobile (bool)"
068_WorldBank_Awards,"Procurement Method (object), Fiscal Year (int64), Project Global Practice (object), WB Contract Number (int64), Review type (object), Borrower Contract Reference Number (object), Supplier ID (float64), Contract Description (object), Supplier Country Code (object), Borrower Country (object), Procurement Category (object), Region (object), Project ID (object), Supplier Country (object), Supplier (object), Borrower Country Code (object), Project Name (object), Contract Signing Date (object), As of Date (object), Supplier Contract Amount (USD) (float64)"
069_Taxonomy,"Unique ID (float64), Parent (object), Name (object), Tier 1 (object), Tier 2 (object), Tier 3 (object), Tier 4 (object), Unnamed: 7 (object)"
070_OpenFoodFact,"categories_en (object), code (object), product_name (object), brands (object), labels_en (object), stores (object), countries_en (object), ingredients_analysis_tags (object), ingredients_tags (object), states_en (object), creator (object)"
071_COL,"Rank (int64), Country (object), Cost of Living Index (float64), Rent Index (float64), Cost of Living Plus Rent Index (float64), Groceries Index (float64), Restaurant Price Index (float64), Local Purchasing Power Index (float64)"
072_Admissions,"Serial No. (int64), GRE Score (int64), TOEFL Score (int64), University Rating (int64), SOP (float64), LOR (float64), CGPA (float64), Research (int64), Chance of Admit (float64)"
073_Med_Cost,"age (int64), sex (object), bmi (float64), children (int64), smoker (object), region (object), charges (float64)"
074_Lift,"Lifter Name (object), Age (int64), Weight Class (object), Lift Type (object), Amount Lifted (kg) (int64)"
075_Mortality,"rownames (int64), Region (object), Status (object), Sex (object), Cause (object), Rate (float64), SE (float64)"
076_NBA,"year (object), Season_type (object), PLAYER_ID (int64), RANK (int64), PLAYER (object), TEAM_ID (int64), TEAM (object), GP (int64), MIN (int64), FGM (int64), FGA (int64), FG_PCT (float64), FG3M (int64), FG3A (int64), FG3_PCT (float64), FTM (int64), FTA (int64), FT_PCT (float64), OREB (int64), DREB (int64), REB (int64), AST (int64), STL (int64), BLK (int64), TOV (int64), PF (int64), PTS (int64), EFF (int64), AST_TOV (float64), STL_TOV (float64)"
077_Gestational,"Age (int64), Pregnancy No (int64), Weight (int64), Height (int64), BMI (float64), Heredity (int64), Prediction (int64)"
078_Fires,"area (float64), X (int64), Y (int64), month (int64), day (int64), DMC (float64), DC (float64), ISI (float64), temp (float64), RH (int64), wind (float64), calendar_names_1 (object), calendar_names_2 (object), calendar_1 (object), calendar_2 (object)"
079_Coffee,"transaction_id (int64), transaction_qty (int64), store_id (int64), store_location (object), product_id (int64), unit_price (float64), product_category (object), product_type (object), product_detail (object), Revenue (object), Month (int64), Month_1 (object), Weekday (int64), Weekday_1 (object), Hour (int64)"
080_Books,"Book Title (object), Author (object), Category (object), Price (TK) (float64), Stock Status (object), Copies Left (float64), Book Length (Pages) (int64), Edition (object), Publication (object), Wished Users (float64), Discount Offer (object), Ratings (float64), Reviews (float64)"
