question,dataset_id,columns,query
Does the youngest billionaire identify as male?,001_Forbes,"rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object",ALSE
What is the title of the billionaire with the lowest rank?,001_Forbes,"rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object",ALSE
List the top 4 cities where the youngest billionaires live.,001_Forbes,"rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object",ALSE
List the bottom 2 countries with the least number of billionaires.,001_Forbes,"rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object",ALSE
List the top 4 ranks of female billionaires.,001_Forbes,"rank; uint16, personName; category, age; float64, finalWorth; uint32, category; category, source; category, country; category, state; category, city; category, organization; category, selfMade; bool, gender; category, birthDate; datetime64[us, UTC], title; category, philanthropyScore; float64, bio; object, about; object",ALSE
Did any children below the age of 18 survive?,002_Titanic,"Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64",df[(df['Age'] < 18) & (df['Survived'] == True)].any().any()
"Among those who survived, which fare range was the most common: (0-50, 50-100, 100-150, 150+)?",002_Titanic,"Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64","Error: invalid syntax (<string>, line 1)"
"Could you list the lower 3 fare ranges by number of survivors: (0-50, 50-100, 100-150, 150+)?",002_Titanic,"Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64","Error: invalid syntax (<string>, line 2)"
"What are the top 4 age ranges('30-50', '18-30', '0-18', '50+') with the highest number of survivors?",002_Titanic,"Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64","Error: invalid syntax (<string>, line 1)"
Which are the top 4 fares paid by survivors?,002_Titanic,"Survived; bool, Pclass; uint8, Name; object, Sex; category, Age; float64, Siblings_Spouses Aboard; uint8, Parents_Children Aboard; uint8, Fare; float64",ALSE
Do the majority of respondents have a height greater than 170 cm?,003_Love,"Submitted at; datetime64[us, UTC], What is your age? 👶🏻👵🏻; uint8, What's your nationality?; category, What is your civil status? 💍; category, What's your sexual orientation?; category, Do you have children? 🍼; category, What is the maximum level of studies you have achieved? 🎓; category, Gross annual salary (in euros) 💸; float64, What's your height? in cm 📏; uint8, What's your weight? in Kg ⚖️; float64, What is your body complexity? 🏋️; category, What is your eye color? 👁️; category, What is your hair color? 👩🦰👱🏽; category, What is your skin tone?; uint8, How long is your hair? 💇🏻♀️💇🏽♂️; category, How long is your facial hair? 🧔🏻; category, How often do you wear glasses? 👓; category, How attractive do you consider yourself?; uint8, Have you ever use an oline dating app?; category, Where have you met your sexual partners? (In a Bar or Restaurant); bool, Where have you met your sexual partners? (Through Friends); bool, Where have you met your sexual partners? (Through Work or as Co-Workers); bool, Where have you met your sexual partners? (Through Family); bool, Where have you met your sexual partners? (in University); bool, Where have you met your sexual partners? (in Primary or Secondary School); bool, Where have you met your sexual partners? (Neighbors); bool, Where have you met your sexual partners? (in Church); bool, Where have you met your sexual partners? (Other); bool, How many people have you kissed?; uint16, How many sexual partners have you had?; uint16, How many people have you considered as your boyfriend_girlfriend?; uint8, How many times per month did you practice sex lately?; float64, Happiness scale; uint8, What area of knowledge is closer to you?; object, If you are in a relationship, how long have you been with your partner?; float64","df[""What's your height? in cm 📏""] > 170).mean() > 0.5"
