Dataset Name,Status
001_Forbes,Complete
002_Titanic,Complete
003_Love,Complete
004_Taxi,Complete
005_NYC,Complete
006_London,Complete
007_Fifa,Complete
008_Tornados,Complete
009_Central,Complete
010_ECommerce,Complete
011_SF,Complete
012_Heart,Complete
013_Roller,Complete
014_Airbnb,Complete
015_Food,Complete
016_Holiday,Complete
017_Hacker,Complete
018_Staff,Complete
019_Aircraft,Complete
020_Real,Complete
021_Telco,Complete
022_Airbnbs,Complete
023_Climate,Complete
024_Salary,Complete
025_Data,Complete
026_Predicting,Complete
027_Supermarket,Complete
028_Predict,Complete
029_NYTimes,Complete
030_Professionals,Complete
031_Trustpilot,Complete
032_Delicatessen,Complete
033_Employee,Complete
034_World,Complete
035_Billboard,Complete
036_US,Complete
037_Ted,Complete
038_Stroke,Complete
039_Happy,Complete
040_Speed,Complete
041_Airline,Complete
042_Predict,Complete
043_Predict,Complete
044_IMDb,Complete
045_Predict,Complete
046_120,Complete
047_Bank,Complete
048_Data,Complete
049_Boris,Complete
050_ING,Complete
051_Pokemon,Complete
052_Professional,Complete
053_Patents,Complete
054_Joe,Complete
055_German,Complete
056_Emoji,Complete
057_Spain,Complete
058_US,Complete
059_Second,Complete
060_Bakery,Complete
061_Disneyland,Complete
062_Trump,Complete
063_Influencers,Complete
064_Clustering,Complete
065_RFM,Complete
