Dataset Name,Column Name,Unique Values
001_Forbes,selfMade,"[True, False]"
001_Forbes,gender,"['M', 'F']"
002_Titanic,Survived,"[False, True]"
002_Titanic,Pclass,"[3, 1, 2]"
002_Titanic,Sex,"['male', 'female']"
003_Love,What's your sexual orientation?,"['Heterosexual', 'Homosexual', 'Bisexual']"
003_Love,Do you have children? 🍼,"['Yes', 'No']"
003_Love,How long is your hair? 💇🏻♀️💇🏽♂️,"['Short', 'Long', 'Medium', 'Bald']"
003_Love,How long is your facial hair? 🧔🏻,"['No facial hair', 'Short beard (few days)', 'Medium (weeks)', 'Long (months)']"
003_Love,How often do you wear glasses? 👓,"['Constantly', 'Rarely', 'Occasioanlly', 'Regularly']"
003_Love,Have you ever use an oline dating app?,"['No', 'Yes']"
003_Love,Where have you met your sexual partners? (In a Bar or Restaurant),"[False, True]"
003_Love,Where have you met your sexual partners? (Through Friends),"[False, True]"
003_Love,Where have you met your sexual partners? (Through Work or as Co-Workers),"[False, True]"
003_Love,Where have you met your sexual partners? (Through Family),"[False, True]"
003_Love,Where have you met your sexual partners? (in University),"[True, False]"
003_Love,Where have you met your sexual partners? (in Primary or Secondary School),"[False, True]"
003_Love,Where have you met your sexual partners? (Neighbors),"[False, True]"
003_Love,Where have you met your sexual partners? (in Church),"[False, True]"
003_Love,Where have you met your sexual partners? (Other),"[False, True]"
004_Taxi,VendorID,"[1, 2]"
004_Taxi,RatecodeID,"[1, 5, 2, 4]"
004_Taxi,store_and_fwd_flag,"['N', 'Y']"
004_Taxi,payment_type,"[2, 1, 4, 3]"
004_Taxi,mta_tax,"[0.5, 0.0, 0.8]"
004_Taxi,tolls_amount,[0]
004_Taxi,improvement_surcharge,"[1.0, 0.3, 0.0]"
004_Taxi,congestion_surcharge,[2.5]
004_Taxi,Airport_fee,[0.0]
004_Taxi,airport_fee,[]
005_NYC,segmentation_1,"['[]', ""['Manhattan Late at night']"", ""['Bronx Late at night']""]"
005_NYC,facility_type,"['Precinct', 'DSNY Garage', 'School', 'School District']"
005_NYC,vehicle_type,"['Car Service', 'Ambulette / Paratransit']"
006_London,price,[]
006_London,room_type,"['Private room', 'Entire home/apt', 'Shared room', 'Hotel room']"
006_London,host_acceptance_rate,[]
006_London,host_identity_verified,"['f', 't']"
