Dataset_ID,Column_Name,Data_Type
057_Spain,Vote Intention,object
057_Spain,Age,float64
057_Spain,const,category
057_Spain,edu,category
057_Spain,gender,category
057_Spain,lang,category
057_Spain,partyId,category
057_Spain,polInterest,category
057_Spain,prevVote,category
057_Spain,prevVoteCat,category
057_Spain,prov,category
057_Spain,Austerity politics are needed in order to overcome the crisis,float64
057_Spain,The growth of Islam is a threat to the security of Spain,float64
057_Spain,The church must pay the IBI,float64
057_Spain,The fact that gay couples can adopt children is positive for society,float64
057_Spain,Women should choose freely on issues of abortion,float64
057_Spain,The immigration detention centres (CIES) should be closed,float64
057_Spain,Schools segregated by sex should also be subsidized by the state,float64
057_Spain,Spain must tighten its immigration policy,float64
057_Spain,Bullfights in Spain should be banned,float64
057_Spain,The 'gag law' is necessary to avoid social unrest,float64
057_Spain,"In order to fight organized crime, restrictions on civil rights and liberties must be accepted",float64
057_Spain,Efficiency in the delivery of public services will be improved with private sector participation,float64
057_Spain,Negotiations with ETA weaken the state,float64
057_Spain,The political party that receives the most votes should govern,float64
057_Spain,Decentralizati on in Spain is inadequate and should continue to expand,float64
057_Spain,Linguistic policy in the autonomous regions discriminates against Spanish language,float64
057_Spain,The central government should control the spending of regional governments to limit their indebtedness,float64
057_Spain,The possibility of a referendum on self- determination of any Autonomous Community must be recognized by the Constitution,float64
057_Spain,The 1978 Constitution is the appropriate framework for our society,float64
057_Spain,Navarra and the Basque Country should retain their tax system,float64
057_Spain,Catalonia must be recognized as a nation,float64
057_Spain,The government should take a tougher line against the persecution of opposition leaders in Venezuela,float64
057_Spain,The number of public sector workers should be increased,float64
057_Spain,The European Union must do more to support the Greek economy,float64
057_Spain,It should be more difficult for companies to lay off workers,float64
057_Spain,Bailing out banks is needed in order to restore economic stability,float64
057_Spain,Increasing university fees is necessary for the sustainability of the university system,float64
057_Spain,The government should subsidize clean energy in order to encourage its use,float64
057_Spain,The subject of religion should be part of the curriculum,float64
057_Spain,The decriminalizati on of soft drugs for personal use is a positive measure,float64
057_Spain,User self-placement on Left-Right economic values axis,float64
057_Spain,User self- placement on Progressive-Conservative economic values axis,float64
057_Spain,Constitutional organisation of the country (More Descentralization),float64
057_Spain,voteReason,category
025_Data,URLs,category
025_Data,Ranking,uint8
025_Data,Keyword,category
025_Data,Avg. monthly searches,uint8
025_Data,Competition,category
039_Happy,wid,uint16
039_Happy,reflection_period,category
039_Happy,cleaned_hm,object
039_Happy,num_sentence,uint8
039_Happy,ground_truth_category,category
039_Happy,predicted_category,category
039_Happy,age,float64
039_Happy,country,category
039_Happy,gender,category
039_Happy,marital,category
039_Happy,parenthood,category
001_Forbes,rank,uint16
001_Forbes,personName,category
001_Forbes,age,float64
001_Forbes,finalWorth,uint32
001_Forbes,category,category
001_Forbes,source,category
001_Forbes,country,category
001_Forbes,state,category
001_Forbes,city,category
001_Forbes,organization,category
001_Forbes,selfMade,bool
001_Forbes,gender,category
001_Forbes,birthDate,"datetime64[us, UTC]"
001_Forbes,title,category
001_Forbes,philanthropyScore,float64
001_Forbes,bio,object
001_Forbes,about,object
005_NYC,segmentation_1,object
005_NYC,descriptor,category
005_NYC,complaint_type,category
005_NYC,created_date,"datetime64[us, UTC]"
005_NYC,borough,category
005_NYC,hour,uint8
005_NYC,month_name,category
005_NYC,weekday_name,category
005_NYC,agency,category
005_NYC,resolution_description,category
005_NYC,agency_name,category
005_NYC,city,category
005_NYC,location_type,category
005_NYC,incident_zip,float64
005_NYC,incident_address,object
005_NYC,street_name,category
005_NYC,cross_street_1,category
005_NYC,cross_street_2,category
005_NYC,intersection_street_1,category
005_NYC,intersection_street_2,category
005_NYC,address_type,category
005_NYC,landmark,category
005_NYC,facility_type,category
005_NYC,status,category
005_NYC,due_date,"datetime64[us, UTC]"
005_NYC,resolution_action_updated_date,"datetime64[us, UTC]"
005_NYC,community_board,category
005_NYC,x_coordinate,float64
005_NYC,y_coordinate,float64
005_NYC,park_facility_name,category
005_NYC,park_borough,category
005_NYC,bbl,float64
005_NYC,open_data_channel_type,category
005_NYC,vehicle_type,category
005_NYC,taxi_company_borough,category
005_NYC,taxi_pickup_location,category
005_NYC,bridge_highway_name,category
005_NYC,bridge_highway_direction,category
005_NYC,road_ramp,category
005_NYC,bridge_highway_segment,category
005_NYC,latitude,float64
005_NYC,longitude,float64
005_NYC,location,object
005_NYC,unique_key,uint32
005_NYC,Unnamed_0,uint32
005_NYC,closed_date,"datetime64[us, UTC]"
011_SF,Incident Datetime,object
011_SF,Incident Date,"datetime64[us, UTC]"
011_SF,Incident Time,category
011_SF,Incident Year,uint16
011_SF,Incident Day of Week,category
011_SF,Report Datetime,object
011_SF,Row ID,int64
011_SF,Incident ID,uint32
011_SF,Incident Number,uint32
011_SF,CAD Number,float64
011_SF,Report Type Code,category
011_SF,Report Type Description,category
011_SF,Filed Online,object
011_SF,Incident Code,uint32
011_SF,Incident Category,category
